Dataset,Frac,Model,Separability,TSTR F1,TRTR F1,Utility Gap
HIV,0.2,Bootstrap,0.7666666666666666,1.0,1.0,0.0
HIV,0.2,GMM,0.7533333333333333,1.0,1.0,0.0
HIV,0.2,CVAE,0.9400000000000001,0.96,1.0,0.040000000000000036
HIV,0.3,Bootstrap,0.77421875,1.0,0.9777777777777779,-0.022222222222222143
HIV,0.3,GMM,0.97265625,1.0,0.9777777777777779,-0.022222222222222143
HIV,0.3,CVAE,0.91171875,0.9743589743589743,0.9777777777777779,0.0034188034188035177
HIV,0.4,Bootstrap,0.7487603305785124,0.9818181818181818,0.9442113442113442,-0.037606837606837584
HIV,0.4,GMM,0.993801652892562,1.0,0.9442113442113442,-0.05578865578865577
HIV,0.4,CVAE,0.9516528925619836,0.9230769230769231,0.9442113442113442,0.0211344211344211
HIV,0.5,Bootstrap,0.7692307692307693,1.0,0.937948717948718,-0.062051282051281964
HIV,0.5,GMM,0.9956043956043956,0.9850746268656716,0.937948717948718,-0.04712590891695356
HIV,0.5,CVAE,0.9725274725274726,0.9538461538461539,0.937948717948718,-0.015897435897435863
Breast Cancer,0.2,Bootstrap,0.6996539792387544,0.9714285714285714,0.9507206714103266,-0.02070790001824485
Breast Cancer,0.2,GMM,0.9544550173010379,0.958904109589041,0.9507206714103266,-0.008183438178714475
Breast Cancer,0.2,CVAE,0.7114186851211073,0.9466666666666667,0.9507206714103266,0.004054004743659911
Breast Cancer,0.3,Bootstrap,0.6777008842752787,0.9760765550239234,0.9542533489757835,-0.02182320604813992
Breast Cancer,0.3,GMM,0.9682814302191465,0.9629629629629629,0.9542533489757835,-0.008709613987179399
Breast Cancer,0.3,CVAE,0.7512495194156094,0.9716981132075472,0.9542533489757835,-0.017444764231763665
Breast Cancer,0.4,Bootstrap,0.7080341695501731,0.9894736842105263,0.972046495549218,-0.017427188661308324
Breast Cancer,0.4,GMM,0.9891760380622836,0.9619377162629758,0.972046495549218,0.010108779286242209
Breast Cancer,0.4,CVAE,0.6907655709342561,0.9556313993174061,0.972046495549218,0.01641509623181181
Breast Cancer,0.5,Bootstrap,0.7065595075239398,0.9887005649717514,0.9718127981786321,-0.01688776679311932
Breast Cancer,0.5,GMM,0.9912927496580028,0.9695290858725761,0.9718127981786321,0.0022837123060559517
Breast Cancer,0.5,CVAE,0.7950068399452805,0.9779005524861878,0.9718127981786321,-0.006087754307555704
Diabetes,0.2,Bootstrap,0.7159971644612476,0.8155339805825242,0.6189393939393939,-0.19659458664313034
Diabetes,0.2,GMM,0.932726843100189,0.6808510638297872,0.6189393939393939,-0.06191166989039332
Diabetes,0.2,CVAE,0.9139177693761816,0.6470588235294118,0.6189393939393939,-0.028119429590017897
Diabetes,0.3,Bootstrap,0.6783028775467339,0.881578947368421,0.5685185185185185,-0.3130604288499025
Diabetes,0.3,GMM,0.9345200588111741,0.6527777777777778,0.5685185185185185,-0.08425925925925926
Diabetes,0.3,CVAE,0.9433837429111531,0.6790123456790124,0.5685185185185185,-0.11049382716049383
Diabetes,0.4,Bootstrap,0.695237260402057,0.8514851485148515,0.6517959559820025,-0.199689192532849
Diabetes,0.4,GMM,0.9591865357643758,0.6633165829145728,0.6517959559820025,-0.011520626932570388
Diabetes,0.4,CVAE,0.9454417952314167,0.6330275229357798,0.6517959559820025,0.018768433046222666
Diabetes,0.5,Bootstrap,0.710723388305847,0.833976833976834,0.5871275404305484,-0.2468492935462856
Diabetes,0.5,GMM,0.9590404797601199,0.5976095617529881,0.5871275404305484,-0.010482021322439694
Diabetes,0.5,CVAE,0.9444602698650675,0.626984126984127,0.5871275404305484,-0.0398565865535786
